START_TIME,PS_TNDR_REQ,PS_TNDR_AMNT,PS_EMD_REQ,ZFYLX,CHANGE_BY,PROCESS_TYPE,STATUS,APPROVE,PROC_GROUP,ZZ_NOTICE,ZZ_DAPPROVE,ZZ_EC,ZZ_URL,ITEM_MODIFY,PURCHASE_MODIFY,STANDARD_MODIFY,ZZ_PBYZ,ZZ_ZBFYF_S,ZJ_LBMS,ZZ_PBRS,ZQUOT_VIS,ZZ_LB
10591,1,10857,1,2783,770,194,10068,746,458,10724,4536,125,10723,16,37,183,1213,4164,1679,5841,4081,124
10591,1,10857,1,2783,770,194,10068,9258,458,31,4536,125,10723,10709,37,183,1213,4164,1679,5841,4081,124
10591,1,10857,1,2783,1402,194,10068,9258,458,1,4536,125,10723,10709,37,183,1213,4164,1679,5841,4081,124
10591,1,10857,1,2783,1333,24,10068,9258,429,31,4536,125,10723,10709,37,183,22,4164,1679,5841,4081,124
10591,1,10857,1,2783,1333,24,10068,9258,429,37,4536,125,10723,10709,10819,183,22,4164,1679,5841,4081,124
10591,1,10857,1,2783,1333,24,10068,9258,429,31,4536,125,10723,10709,37,183,22,4164,567,5841,4081,124
10591,1,10857,1,2783,770,6895,10068,9258,135,23,4536,125,10723,16,37,183,92,4164,7119,5841,4081,124
10591,1,10857,1,2783,770,6895,10068,9258,135,37,4536,125,10723,10709,37,183,92,4164,166,5841,4081,124
10591,1,10857,1,2783,646,6895,10068,9258,419,31,4536,125,10723,10709,37,183,279,4164,1679,5841,4081,124
10591,1,10857,1,8074,707,6895,10068,9258,155,31,4536,125,10723,10709,37,183,2944,4164,166,5841,4081,124
